# Abstand_Einspannung Ausschlag_ohne_Gewicht Ausschlag_mit_Gewicht
500 7.72 2.23
495 7.53 2.15
490 7.43 2.08
485 7.36 2.10
480 7.24 2.06
475 7.22 1.92
460 6.83 1.86
450 6.69 1.85
440 6.40 1.88
430 6.26 1.77
420 6.07 1.76
410 5.82 1.72
390 5.40 1.62
360 4.80 1.44
330 4.25 1.33
290 3.60 1.25
250 2.28 0.53
245 2.21 0.53
240 2.16 0.54
235 2.10 0.53
230 2.02 0.51
225 1.97 0.46
220 1.88 0.45
210 1.77 0.45
200 1.60 0.44
190 1.49 0.40
180 1.38 0.38
170 1.23 0.36
150 1.03 0.32
120 0.74 0.26
90  0.52 0.24
60  0.39 0.25
         
